CROP TYPE,SOIL TYPE,REGION,TEMPERATURE,WEATHER CONDITION,WATER REQUIREMENT,Farmer_Age,Farm_Location,Farm_Size,Crop_Type,Annual_Income,Water_Bill,Fertilizer_Usage
POTATO,WET,SEMI HUMID,20-30,WINDY,5.4,55,Jazan,5.05,Cucumber,125505,3875.11,345.3
POTATO,WET,SEMI HUMID,20-30,RAINY,0.2,45,Riyadh,5.0,Barley,75597,6026.37,414.7
POTATO,WET,SEMI HUMID,30-40,NORMAL,5.54,55,Al-Madinah,0.61,Dates,129962,1198.01,174.5
POTATO,WET,SEMI HUMID,30-40,SUNNY,7.04,39,Jazan,8.54,Wheat,99265,6438.42,117.6
POTATO,WET,SEMI HUMID,30-40,WINDY,6.54,58,Al-Ahsa,14.87,Tomato,198442,1102.11,124.0
POTATO,WET,SEMI HUMID,30-40,RAINY,0.3,60,Tabuk,4.78,Barley,85412,2605.48,71.5
POTATO,WET,SEMI HUMID,40-50,NORMAL,6.52,28,Riyadh,12.78,Wheat,50940,6173.16,63.4
POTATO,WET,SEMI HUMID,40-50,SUNNY,8.02,63,Al-Ahsa,2.58,Wheat,170216,9124.18,125.5
POTATO,WET,SEMI HUMID,40-50,WINDY,7.52,59,Al-Madinah,2.77,Cucumber,103329,6478.18,155.2
POTATO,WET,SEMI HUMID,40-50,RAINY,0.5,46,Qassim,11.22,Cucumber,42707,1768.58,419.8
POTATO,WET,HUMID,10-20,NORMAL,2.06,44,Jazan,12.62,Wheat,131741,1271.27,333.0
POTATO,WET,HUMID,10-20,SUNNY,3.56,44,Qassim,8.89,Barley,55530,6534.72,166.6
POTATO,WET,HUMID,10-20,WINDY,3.06,40,Al-Ahsa,4.25,Tomato,97693,7461.91,424.3
POTATO,WET,HUMID,10-20,RAINY,0.1,53,Tabuk,4.28,Wheat,140094,4927.25,491.9
POTATO,WET,HUMID,20-30,NORMAL,3.0,63,Jazan,11.95,Tomato,173926,7724.68,100.5
POTATO,WET,HUMID,20-30,SUNNY,4.5,57,Tabuk,7.13,Dates,151850,4900.45,155.6
POTATO,WET,HUMID,20-30,WINDY,4.0,64,Qassim,10.76,Tomato,188952,7754.17,107.0
POTATO,WET,HUMID,20-30,RAINY,0.1,47,Riyadh,2.61,Tomato,104183,4762.85,257.5
POTATO,WET,HUMID,30-40,NORMAL,4.1,63,Qassim,6.0,Barley,177578,1572.21,221.4
POTATO,WET,HUMID,30-40,SUNNY,5.6,64,Tabuk,12.66,Tomato,40597,2539.11,493.8
POTATO,WET,HUMID,30-40,WINDY,5.1,58,Al-Ahsa,4.69,Tomato,124230,9797.65,295.1
POTATO,WET,HUMID,30-40,RAINY,0.2,34,Qassim,6.88,Tomato,105049,3132.95,221.5
POTATO,WET,HUMID,40-50,NORMAL,5.15,53,Jazan,7.76,Cucumber,133122,6104.7,237.5
POTATO,WET,HUMID,40-50,SUNNY,6.65,51,Tabuk,2.51,Tomato,178974,8807.13,156.7
POTATO,WET,HUMID,40-50,WINDY,6.15,31,Jazan,6.66,Wheat,135130,1602.47,453.8
POTATO,WET,HUMID,40-50,RAINY,0.3,64,Al-Madinah,11.95,Cucumber,162658,6297.98,429.1
RICE,DRY,DESERT,10-20,NORMAL,17.0,53,Al-Madinah,10.31,Tomato,128353,7798.91,273.7
RICE,DRY,DESERT,10-20,SUNNY,18.5,51,Al-Madinah,12.05,Barley,164590,8630.89,478.6
RICE,DRY,DESERT,10-20,WINDY,18.0,42,Hail,13.64,Tomato,87596,2052.25,334.8
RICE,DRY,DESERT,10-20,RAINY,9.0,38,Al-Ahsa,12.68,Tomato,42742,9842.54,292.5
RICE,DRY,DESERT,20-30,NORMAL,18.0,33,Hail,13.94,Wheat,152063,6273.52,469.4
RICE,DRY,DESERT,20-30,SUNNY,19.5,48,Jazan,14.7,Barley,118389,3576.59,248.0
RICE,DRY,DESERT,20-30,WINDY,19.0,41,Tabuk,3.46,Tomato,127313,5801.52,445.3
RICE,DRY,DESERT,20-30,RAINY,10.0,64,Tabuk,14.65,Wheat,179698,8798.01,122.7
RICE,DRY,DESERT,30-40,NORMAL,19.0,48,Al-Ahsa,7.43,Wheat,199962,3941.52,487.3
RICE,DRY,DESERT,30-40,SUNNY,20.5,56,Riyadh,8.33,Wheat,101884,1247.44,88.8
RICE,DRY,DESERT,30-40,WINDY,20.0,26,Al-Ahsa,4.69,Tomato,153567,4965.33,475.7
RICE,DRY,DESERT,30-40,RAINY,11.0,49,Hail,11.7,Barley,107941,9679.53,414.6
RICE,DRY,DESERT,40-50,NORMAL,20.0,27,Riyadh,5.56,Dates,120613,9093.65,371.1
RICE,DRY,DESERT,40-50,SUNNY,21.5,52,Qassim,7.92,Wheat,72398,3079.1,83.4
RICE,DRY,DESERT,40-50,WINDY,21.0,55,Al-Ahsa,13.97,Wheat,103054,1519.5,151.8
RICE,DRY,DESERT,40-50,RAINY,12.0,50,Al-Ahsa,0.81,Wheat,155437,7769.62,149.2
RICE,DRY,SEMI ARID,10-20,NORMAL,15.5,52,Riyadh,13.07,Barley,105512,4574.25,285.9
RICE,DRY,SEMI ARID,10-20,SUNNY,17.0,47,Al-Ahsa,11.69,Dates,127063,7331.06,188.8
RICE,DRY,SEMI ARID,10-20,WINDY,16.5,38,Jazan,1.63,Barley,145071,2252.27,450.0
RICE,DRY,SEMI ARID,10-20,RAINY,7.5,58,Riyadh,11.36,Dates,143676,8758.2,184.5
RICE,DRY,SEMI ARID,20-30,NORMAL,16.5,42,Al-Ahsa,13.05,Wheat,196723,8779.91,330.5
RICE,DRY,SEMI ARID,20-30,SUNNY,18.0,63,Al-Ahsa,2.52,Tomato,93064,9961.31,187.4
RICE,DRY,SEMI ARID,20-30,WINDY,17.5,51,Al-Ahsa,4.65,Wheat,60344,4267.59,331.6
RICE,DRY,SEMI ARID,20-30,RAINY,8.5,44,Hail,6.11,Dates,71518,4564.41,53.6
RICE,DRY,SEMI ARID,30-40,NORMAL,17.5,37,Tabuk,9.94,Tomato,106368,1210.94,429.1
RICE,DRY,SEMI ARID,30-40,SUNNY,19.0,49,Riyadh,7.1,Wheat,142435,4938.01,365.3
RICE,DRY,SEMI ARID,30-40,WINDY,18.5,56,Al-Ahsa,12.61,Wheat,117673,7309.41,430.9
RICE,DRY,SEMI ARID,30-40,RAINY,9.5,29,Riyadh,1.28,Barley,133585,3070.82,396.0
RICE,DRY,SEMI ARID,40-50,NORMAL,18.5,26,Jazan,10.45,Tomato,40213,9374.7,350.8
RICE,DRY,SEMI ARID,40-50,SUNNY,20.0,43,Jazan,11.8,Dates,115097,9247.05,390.3
RICE,DRY,SEMI ARID,40-50,WINDY,19.5,62,Hail,4.06,Barley,167399,2128.35,191.1
RICE,DRY,SEMI ARID,40-50,RAINY,10.5,29,Al-Ahsa,8.27,Dates,189523,4463.21,352.3
RICE,DRY,SEMI HUMID,10-20,NORMAL,13.5,63,Al-Ahsa,13.37,Barley,128363,2486.57,434.8
RICE,DRY,SEMI HUMID,10-20,SUNNY,15.0,27,Riyadh,4.36,Wheat,178511,7307.35,288.8
RICE,DRY,SEMI HUMID,10-20,WINDY,14.5,28,Al-Madinah,14.38,Wheat,97285,3726.19,357.9
RICE,DRY,SEMI HUMID,10-20,RAINY,5.5,45,Tabuk,3.0,Tomato,175178,1910.36,176.0
RICE,DRY,SEMI HUMID,20-30,NORMAL,14.5,38,Riyadh,6.97,Cucumber,66943,4824.89,130.5
RICE,DRY,SEMI HUMID,20-30,SUNNY,16.0,51,Al-Ahsa,6.98,Dates,100528,8941.22,473.5
RICE,DRY,SEMI HUMID,20-30,WINDY,15.5,60,Jazan,4.42,Wheat,106959,1860.76,259.0
RICE,DRY,SEMI HUMID,20-30,RAINY,6.5,44,Al-Ahsa,8.33,Tomato,71805,3196.33,128.9
RICE,DRY,SEMI HUMID,30-40,NORMAL,15.5,53,Al-Ahsa,8.0,Wheat,138264,7126.76,203.9
RICE,DRY,SEMI HUMID,30-40,SUNNY,17.0,50,Riyadh,1.17,Tomato,48931,2488.64,425.7
RICE,DRY,SEMI HUMID,30-40,WINDY,16.5,53,Tabuk,5.79,Tomato,99643,2438.8,309.3
RICE,DRY,SEMI HUMID,30-40,RAINY,7.5,43,Qassim,7.63,Barley,198987,1075.79,108.0
RICE,DRY,SEMI HUMID,40-50,NORMAL,16.5,62,Jazan,6.05,Dates,73677,7956.3,391.5
RICE,DRY,SEMI HUMID,40-50,SUNNY,18.0,28,Qassim,5.46,Barley,58773,2114.5,223.5
RICE,DRY,SEMI HUMID,40-50,WINDY,17.5,57,Al-Madinah,10.87,Cucumber,189149,969.09,471.8
RICE,DRY,SEMI HUMID,40-50,RAINY,8.5,43,Qassim,12.66,Wheat,78312,1234.14,448.0
RICE,DRY,HUMID,10-20,NORMAL,11.0,46,Riyadh,1.91,Cucumber,134604,8997.7,416.7
RICE,DRY,HUMID,10-20,SUNNY,12.5,25,Qassim,9.06,Dates,151758,2924.11,181.0
RICE,DRY,HUMID,10-20,WINDY,12.0,60,Qassim,5.39,Cucumber,58085,2094.58,130.0
RICE,DRY,HUMID,10-20,RAINY,3.0,29,Jazan,7.12,Tomato,193053,4330.24,270.9
RICE,DRY,HUMID,20-30,NORMAL,12.0,47,Al-Ahsa,2.55,Dates,60782,8814.74,96.1
RICE,DRY,HUMID,20-30,SUNNY,13.5,28,Qassim,14.27,Wheat,111946,8124.92,440.9
RICE,DRY,HUMID,20-30,WINDY,13.0,50,Riyadh,1.54,Barley,83267,3191.07,120.6
RICE,DRY,HUMID,20-30,RAINY,4.0,42,Hail,12.6,Barley,130947,7147.17,416.9
RICE,DRY,HUMID,30-40,NORMAL,13.0,41,Hail,14.61,Wheat,89186,5498.64,199.8
RICE,DRY,HUMID,30-40,SUNNY,14.5,56,Al-Ahsa,2.14,Cucumber,80489,3407.9,441.4
RICE,DRY,HUMID,30-40,WINDY,14.0,41,Tabuk,9.8,Tomato,66937,8603.82,207.3
RICE,DRY,HUMID,30-40,RAINY,5.0,31,Qassim,14.75,Tomato,152875,3617.41,199.5
RICE,DRY,HUMID,40-50,NORMAL,14.0,44,Hail,4.89,Barley,173944,2102.4,350.0
RICE,DRY,HUMID,40-50,SUNNY,15.5,30,Jazan,14.05,Barley,98203,7409.47,205.0
RICE,DRY,HUMID,40-50,WINDY,15.0,25,Jazan,2.17,Barley,146901,8476.22,56.7
RICE,DRY,HUMID,40-50,RAINY,6.0,34,Hail,3.64,Barley,57074,1592.48,158.3
RICE,HUMID,DESERT,10-20,NORMAL,13.0,47,Al-Ahsa,7.57,Wheat,137531,5465.74,470.3
RICE,HUMID,DESERT,10-20,SUNNY,14.5,56,Al-Madinah,9.14,Barley,151030,1693.23,345.9
RICE,HUMID,DESERT,10-20,WINDY,14.0,46,Al-Ahsa,6.33,Barley,132876,7526.12,483.9
RICE,HUMID,DESERT,10-20,RAINY,5.0,56,Jazan,9.17,Barley,167716,5743.94,184.4
RICE,HUMID,DESERT,20-30,NORMAL,14.0,46,Jazan,12.74,Cucumber,98394,2390.56,493.7
RICE,HUMID,DESERT,20-30,SUNNY,15.5,29,Al-Ahsa,1.32,Wheat,40392,4472.79,220.0
RICE,HUMID,DESERT,20-30,WINDY,15.0,36,Riyadh,7.27,Wheat,153609,7101.32,254.3
RICE,HUMID,DESERT,20-30,RAINY,6.0,64,Riyadh,7.09,Barley,55491,5257.44,444.7
RICE,HUMID,DESERT,30-40,NORMAL,15.0,35,Qassim,14.79,Barley,65273,8367.14,391.1
RICE,HUMID,DESERT,30-40,SUNNY,16.5,55,Al-Ahsa,1.87,Cucumber,118920,8624.55,378.1
RICE,HUMID,DESERT,30-40,WINDY,16.0,38,Jazan,1.55,Wheat,185173,3948.42,494.0
RICE,HUMID,DESERT,30-40,RAINY,7.0,33,Al-Madinah,0.73,Tomato,195283,8419.3,322.3
RICE,HUMID,DESERT,40-50,NORMAL,16.0,58,Riyadh,8.19,Wheat,117527,6609.89,470.7
RICE,HUMID,DESERT,40-50,SUNNY,17.5,54,Al-Ahsa,7.99,Tomato,84553,3956.42,493.3
RICE,HUMID,DESERT,40-50,WINDY,17.0,36,Tabuk,1.72,Tomato,130472,1319.89,233.6
RICE,HUMID,DESERT,40-50,RAINY,8.0,49,Jazan,2.52,Barley,52100,9764.19,91.8
RICE,HUMID,SEMI ARID,10-20,NORMAL,11.5,56,Al-Ahsa,5.82,Cucumber,122225,2218.42,135.3
RICE,HUMID,SEMI ARID,10-20,SUNNY,13.0,34,Hail,7.39,Wheat,97182,1876.26,51.7
RICE,HUMID,SEMI ARID,10-20,WINDY,12.5,61,Al-Ahsa,14.91,Cucumber,188822,4345.89,141.5
RICE,HUMID,SEMI ARID,10-20,RAINY,3.5,48,Hail,5.96,Tomato,41434,7300.2,77.2
RICE,HUMID,SEMI ARID,20-30,NORMAL,12.5,50,Jazan,14.99,Tomato,180654,4340.94,437.2
RICE,HUMID,SEMI ARID,20-30,SUNNY,14.0,63,Qassim,11.94,Dates,110504,4798.72,438.8
RICE,HUMID,SEMI ARID,20-30,WINDY,13.5,54,Tabuk,13.76,Barley,84133,8698.43,356.9
RICE,HUMID,SEMI ARID,20-30,RAINY,4.5,42,Al-Madinah,14.09,Barley,89973,1971.71,187.2
RICE,HUMID,SEMI ARID,30-40,NORMAL,13.5,61,Al-Ahsa,3.76,Barley,148362,2194.33,197.3
RICE,HUMID,SEMI ARID,30-40,SUNNY,15.0,35,Jazan,7.58,Cucumber,142388,1005.24,192.4
RICE,HUMID,SEMI ARID,30-40,WINDY,14.5,64,Al-Ahsa,5.18,Dates,49468,1737.42,470.5
RICE,HUMID,SEMI ARID,30-40,RAINY,5.5,34,Riyadh,7.19,Cucumber,119642,7631.96,238.1
RICE,HUMID,SEMI ARID,40-50,NORMAL,14.5,39,Jazan,8.46,Barley,72470,9852.44,201.1
RICE,HUMID,SEMI ARID,40-50,SUNNY,16.0,44,Tabuk,9.57,Barley,147207,5066.08,137.4
RICE,HUMID,SEMI ARID,40-50,WINDY,15.5,38,Tabuk,14.91,Cucumber,114945,7774.1,422.6
RICE,HUMID,SEMI ARID,40-50,RAINY,6.5,50,Tabuk,4.26,Dates,132068,9724.37,405.5
RICE,HUMID,SEMI HUMID,10-20,NORMAL,9.5,57,Qassim,6.05,Cucumber,53411,8945.6,174.5
RICE,HUMID,SEMI HUMID,10-20,SUNNY,11.0,64,Tabuk,1.34,Wheat,129749,6930.92,231.6
RICE,HUMID,SEMI HUMID,10-20,WINDY,10.5,46,Al-Ahsa,1.31,Tomato,49472,5054.66,450.0
RICE,HUMID,SEMI HUMID,10-20,RAINY,1.5,36,Hail,5.18,Tomato,40722,4166.29,303.4
RICE,HUMID,SEMI HUMID,20-30,NORMAL,10.5,27,Al-Madinah,13.28,Tomato,70922,4699.61,105.9
RICE,HUMID,SEMI HUMID,20-30,SUNNY,12.0,35,Hail,1.36,Wheat,190307,2662.26,399.0
RICE,HUMID,SEMI HUMID,20-30,WINDY,11.5,33,Tabuk,7.89,Wheat,167959,5615.68,233.3
RICE,HUMID,SEMI HUMID,20-30,RAINY,2.5,37,Al-Madinah,14.2,Cucumber,153378,7065.4,189.3
RICE,HUMID,SEMI HUMID,30-40,NORMAL,11.5,31,Jazan,2.19,Dates,88496,7858.57,159.2
RICE,HUMID,SEMI HUMID,30-40,SUNNY,13.0,34,Al-Madinah,4.91,Tomato,158541,6710.37,217.7
RICE,HUMID,SEMI HUMID,30-40,WINDY,12.5,57,Hail,4.15,Cucumber,96102,4729.64,71.0
RICE,HUMID,SEMI HUMID,30-40,RAINY,3.5,63,Al-Madinah,12.78,Barley,114974,3605.49,326.4
RICE,HUMID,SEMI HUMID,40-50,NORMAL,12.5,49,Hail,6.01,Dates,59657,4201.01,137.2
RICE,HUMID,SEMI HUMID,40-50,SUNNY,14.0,25,Tabuk,0.99,Wheat,188552,8826.64,114.2
RICE,HUMID,SEMI HUMID,40-50,WINDY,13.5,31,Riyadh,2.77,Dates,54638,4714.67,329.0
RICE,HUMID,SEMI HUMID,40-50,RAINY,4.5,46,Al-Ahsa,8.41,Tomato,142010,9454.8,322.4
RICE,HUMID,HUMID,10-20,NORMAL,7.0,57,Qassim,4.78,Barley,94948,6833.59,136.6
RICE,HUMID,HUMID,10-20,SUNNY,8.5,40,Al-Ahsa,12.97,Cucumber,161017,4967.66,286.6
RICE,HUMID,HUMID,10-20,WINDY,8.0,57,Tabuk,14.09,Tomato,93756,9255.98,244.5
RICE,HUMID,HUMID,10-20,RAINY,0.8,63,Al-Ahsa,9.27,Barley,98232,7297.27,444.9
RICE,HUMID,HUMID,20-30,NORMAL,8.0,31,Al-Madinah,9.33,Tomato,145170,3383.51,186.9
RICE,HUMID,HUMID,20-30,SUNNY,9.5,56,Qassim,2.06,Dates,41480,7169.22,218.5
RICE,HUMID,HUMID,20-30,WINDY,9.0,52,Jazan,9.56,Barley,118826,3052.64,132.9
RICE,HUMID,HUMID,20-30,RAINY,0.8,45,Tabuk,13.29,Cucumber,74876,4783.28,176.2
RICE,HUMID,HUMID,30-40,NORMAL,9.0,43,Tabuk,1.69,Cucumber,77336,2140.97,80.6
RICE,HUMID,HUMID,30-40,SUNNY,10.5,50,Al-Ahsa,9.86,Tomato,157795,6715.29,172.1
RICE,HUMID,HUMID,30-40,WINDY,10.0,30,Hail,8.81,Tomato,145628,3454.15,369.7
RICE,HUMID,HUMID,30-40,RAINY,1.0,63,Qassim,4.92,Wheat,94207,7138.14,202.0
RICE,HUMID,HUMID,40-50,NORMAL,10.0,27,Al-Ahsa,9.96,Tomato,175160,2340.2,422.4
RICE,HUMID,HUMID,40-50,SUNNY,11.5,44,Jazan,3.67,Cucumber,60534,5100.01,225.5
RICE,HUMID,HUMID,40-50,WINDY,11.0,61,Al-Madinah,3.57,Wheat,82488,2979.64,429.3
RICE,HUMID,HUMID,40-50,RAINY,2.0,44,Riyadh,11.37,Cucumber,174544,2392.76,204.7
RICE,WET,DESERT,10-20,NORMAL,10.0,61,Jazan,14.53,Tomato,53694,2893.01,249.0
RICE,WET,DESERT,10-20,SUNNY,11.5,43,Riyadh,5.37,Tomato,179822,8740.23,194.8
RICE,WET,DESERT,10-20,WINDY,11.0,43,Jazan,9.9,Wheat,196638,1254.05,230.5
RICE,WET,DESERT,10-20,RAINY,2.0,61,Riyadh,8.58,Barley,69101,3058.72,194.7
RICE,WET,DESERT,20-30,NORMAL,11.0,58,Riyadh,8.85,Barley,189269,8729.84,188.1
RICE,WET,DESERT,20-30,SUNNY,12.5,44,Qassim,3.82,Cucumber,100621,9018.06,389.1
RICE,WET,DESERT,20-30,WINDY,12.0,29,Tabuk,3.42,Wheat,46558,7995.24,403.6
RICE,WET,DESERT,20-30,RAINY,3.0,63,Qassim,13.57,Dates,63711,3056.43,426.2
RICE,WET,DESERT,30-40,NORMAL,12.0,57,Tabuk,3.01,Barley,75029,5364.33,475.8
RICE,WET,DESERT,30-40,SUNNY,13.5,33,Al-Ahsa,1.88,Barley,59892,1557.16,194.5
RICE,WET,DESERT,30-40,WINDY,13.0,40,Jazan,7.62,Wheat,79368,6650.92,60.2
RICE,WET,DESERT,30-40,RAINY,4.0,31,Jazan,10.33,Wheat,145278,5748.9,229.5
RICE,WET,DESERT,40-50,NORMAL,13.0,48,Al-Madinah,13.01,Wheat,168850,4863.03,381.8
RICE,WET,DESERT,40-50,SUNNY,14.5,53,Hail,9.56,Cucumber,134807,5039.0,224.9
RICE,WET,DESERT,40-50,WINDY,14.0,49,Jazan,8.15,Tomato,176427,4059.34,236.2
RICE,WET,DESERT,40-50,RAINY,5.0,53,Al-Ahsa,4.75,Tomato,128356,3882.86,224.0
RICE,WET,SEMI ARID,10-20,NORMAL,8.5,59,Qassim,9.69,Wheat,178931,3344.56,472.9
RICE,WET,SEMI ARID,10-20,SUNNY,10.0,25,Qassim,10.69,Tomato,182396,2608.17,447.6
RICE,WET,SEMI ARID,10-20,WINDY,9.5,55,Jazan,8.31,Dates,100883,9324.38,494.7
RICE,WET,SEMI ARID,10-20,RAINY,0.5,25,Al-Ahsa,3.91,Tomato,91171,2149.23,343.3
RICE,WET,SEMI ARID,20-30,NORMAL,9.5,46,Hail,2.7,Wheat,171585,4959.51,414.4
RICE,WET,SEMI ARID,20-30,SUNNY,11.0,26,Jazan,2.81,Tomato,180208,3172.73,141.5
RICE,WET,SEMI ARID,20-30,WINDY,10.5,46,Riyadh,3.62,Barley,41918,9198.6,495.1
RICE,WET,SEMI ARID,20-30,RAINY,1.5,56,Al-Ahsa,7.29,Dates,80875,4022.05,229.3
RICE,WET,SEMI ARID,30-40,NORMAL,10.5,25,Jazan,13.66,Cucumber,129273,1179.83,113.8
RICE,WET,SEMI ARID,30-40,SUNNY,12.0,25,Al-Ahsa,5.42,Wheat,99206,5876.37,467.4
RICE,WET,SEMI ARID,30-40,WINDY,11.5,53,Riyadh,3.64,Wheat,186779,3413.66,411.4
RICE,WET,SEMI ARID,30-40,RAINY,2.5,44,Hail,13.52,Wheat,130944,6626.33,330.4
RICE,WET,SEMI ARID,40-50,NORMAL,11.5,61,Hail,12.75,Dates,185084,1600.84,348.6
RICE,WET,SEMI ARID,40-50,SUNNY,13.0,32,Al-Ahsa,0.83,Tomato,161598,4377.53,254.1
RICE,WET,SEMI ARID,40-50,WINDY,12.5,26,Jazan,1.39,Cucumber,136888,8632.66,494.0
RICE,WET,SEMI ARID,40-50,RAINY,3.5,48,Al-Ahsa,10.86,Wheat,174385,4112.64,199.0
RICE,WET,SEMI HUMID,10-20,NORMAL,6.5,41,Al-Madinah,0.52,Cucumber,190914,1494.23,88.5
RICE,WET,SEMI HUMID,10-20,SUNNY,8.0,34,Tabuk,2.82,Barley,187323,7214.58,161.8
RICE,WET,SEMI HUMID,10-20,WINDY,7.5,60,Al-Ahsa,5.95,Barley,111551,4480.78,453.5
RICE,WET,SEMI HUMID,10-20,RAINY,0.5,50,Tabuk,3.76,Barley,50346,1026.85,234.4
RICE,WET,SEMI HUMID,20-30,NORMAL,7.5,34,Qassim,10.59,Dates,43082,3266.3,426.1
RICE,WET,SEMI HUMID,20-30,SUNNY,9.0,49,Al-Ahsa,0.6,Barley,195576,4591.13,154.9
RICE,WET,SEMI HUMID,20-30,WINDY,8.5,27,Hail,10.4,Wheat,59290,5278.51,126.2
RICE,WET,SEMI HUMID,20-30,RAINY,0.8,59,Riyadh,10.8,Tomato,157999,2201.81,191.8
RICE,WET,SEMI HUMID,30-40,NORMAL,8.5,35,Tabuk,10.33,Cucumber,142721,3288.27,210.7
RICE,WET,SEMI HUMID,30-40,SUNNY,10.0,63,Qassim,3.79,Tomato,179444,1270.49,113.5
RICE,WET,SEMI HUMID,30-40,WINDY,9.5,59,Jazan,4.42,Dates,132809,3369.18,468.5
RICE,WET,SEMI HUMID,30-40,RAINY,0.5,25,Tabuk,9.53,Dates,196713,3721.18,411.2
RICE,WET,SEMI HUMID,40-50,NORMAL,9.5,33,Hail,8.63,Dates,88776,4564.03,381.3
RICE,WET,SEMI HUMID,40-50,SUNNY,11.0,56,Jazan,7.83,Barley,78991,1881.19,349.1
RICE,WET,SEMI HUMID,40-50,WINDY,10.5,26,Riyadh,12.66,Cucumber,95237,9977.11,138.4
RICE,WET,SEMI HUMID,40-50,RAINY,1.5,50,Qassim,9.9,Wheat,118802,9955.28,340.7
RICE,WET,HUMID,10-20,NORMAL,4.0,50,Riyadh,8.41,Cucumber,54569,3328.41,372.0
RICE,WET,HUMID,10-20,SUNNY,5.5,39,Al-Madinah,3.86,Cucumber,168447,1338.45,250.0
RICE,WET,HUMID,10-20,WINDY,5.0,64,Qassim,4.23,Wheat,77593,4790.43,77.9
RICE,WET,HUMID,10-20,RAINY,0.2,29,Riyadh,9.55,Dates,105528,3562.46,408.6
RICE,WET,HUMID,20-30,NORMAL,5.0,54,Al-Ahsa,11.32,Tomato,178491,8817.32,331.5
RICE,WET,HUMID,20-30,SUNNY,6.5,62,Jazan,13.73,Barley,177394,9210.44,429.0
RICE,WET,HUMID,20-30,WINDY,6.0,42,Tabuk,5.2,Dates,147012,9456.69,338.3
RICE,WET,HUMID,20-30,RAINY,0.3,59,Al-Ahsa,4.28,Barley,47356,5295.72,261.2
RICE,WET,HUMID,30-40,NORMAL,6.0,46,Qassim,6.3,Dates,183342,2995.04,92.7
RICE,WET,HUMID,30-40,SUNNY,7.5,46,Riyadh,8.96,Barley,144324,4600.05,236.5
RICE,WET,HUMID,30-40,WINDY,7.0,51,Al-Madinah,1.5,Dates,186655,8370.3,177.4
RICE,WET,HUMID,30-40,RAINY,0.5,31,Riyadh,9.58,Tomato,53030,9142.2,92.6
RICE,WET,HUMID,40-50,NORMAL,7.0,38,Jazan,13.84,Cucumber,74860,6246.4,449.2
RICE,WET,HUMID,40-50,SUNNY,8.5,56,Tabuk,8.05,Wheat,47536,2129.72,129.0
RICE,WET,HUMID,40-50,WINDY,8.0,51,Riyadh,13.99,Dates,113141,6427.52,389.5
RICE,WET,HUMID,40-50,RAINY,0.8,51,Al-Madinah,6.48,Cucumber,162248,6524.31,60.2
MELON,DRY,DESERT,10-20,NORMAL,6.12,47,Qassim,14.32,Barley,92615,3054.14,280.5
MELON,DRY,DESERT,10-20,SUNNY,7.62,33,Al-Madinah,1.23,Cucumber,102920,7995.06,424.7
MELON,DRY,DESERT,10-20,WINDY,7.12,31,Al-Ahsa,14.4,Wheat,114969,9909.19,174.6
MELON,DRY,DESERT,10-20,RAINY,0.5,64,Riyadh,1.09,Tomato,76466,6044.81,434.7
MELON,DRY,DESERT,20-30,NORMAL,7.12,45,Jazan,8.58,Wheat,150570,6919.54,350.2
MELON,DRY,DESERT,20-30,SUNNY,8.62,29,Riyadh,3.47,Dates,92913,6778.96,494.4
MELON,DRY,DESERT,20-30,WINDY,8.12,38,Qassim,7.34,Barley,84801,7565.8,233.3
MELON,DRY,DESERT,20-30,RAINY,0.8,34,Qassim,9.43,Wheat,113568,5746.39,67.2
MELON,DRY,DESERT,30-40,NORMAL,8.12,47,Hail,9.79,Wheat,120856,2109.47,306.1
MELON,DRY,DESERT,30-40,SUNNY,9.62,57,Riyadh,3.27,Wheat,46520,3237.96,259.7
MELON,DRY,DESERT,30-40,WINDY,9.12,28,Hail,9.0,Cucumber,56074,2208.96,350.0
MELON,DRY,DESERT,30-40,RAINY,0.12,59,Al-Ahsa,12.11,Dates,68646,5030.0,368.9
MELON,DRY,DESERT,40-50,NORMAL,9.12,25,Jazan,12.0,Dates,125827,4845.63,212.3
MELON,DRY,DESERT,40-50,SUNNY,10.62,32,Riyadh,13.48,Dates,139206,3081.89,410.7
MELON,DRY,DESERT,40-50,WINDY,10.12,36,Al-Ahsa,0.73,Tomato,110779,1855.4,246.9
MELON,DRY,DESERT,40-50,RAINY,1.12,40,Tabuk,0.63,Tomato,119491,5190.94,320.0
MELON,DRY,SEMI ARID,10-20,NORMAL,5.58,53,Riyadh,12.82,Barley,144946,9174.07,52.1
MELON,DRY,SEMI ARID,10-20,SUNNY,7.08,43,Tabuk,1.13,Tomato,57322,8554.47,267.1
MELON,DRY,SEMI ARID,10-20,WINDY,6.58,35,Al-Ahsa,1.39,Cucumber,170273,9191.03,262.6
MELON,DRY,SEMI ARID,10-20,RAINY,0.3,43,Al-Ahsa,13.88,Cucumber,105726,1408.35,456.1
MELON,DRY,SEMI ARID,20-30,NORMAL,6.58,41,Al-Madinah,12.28,Wheat,99315,2177.05,369.5
MELON,DRY,SEMI ARID,20-30,SUNNY,8.08,48,Al-Ahsa,14.07,Tomato,95511,3511.68,111.3
MELON,DRY,SEMI ARID,20-30,WINDY,7.58,61,Al-Madinah,1.62,Dates,68928,5656.95,313.7
MELON,DRY,SEMI ARID,20-30,RAINY,0.5,57,Al-Madinah,8.01,Dates,81808,7936.81,353.6
